"Version control","Control de versión"
"Perform updates","Proceder a las actualizaciones"
"Number of revisions per page","Número de revisiones por página"
"Bug tracker","Control de proyecto"
"Customize the login page","Personalizar la página de conexión"
"Maintenance pages","Páginas de mantenimiento"
"The <em>maintenance.flag</em> page takes priority over the <em>upgrade.flag</em> page.","La página <em lang=""en"">maintenance.flag</em> es prioritaria sobre la página <em lang=""en"">upgrade.flag</em>."
"Error 503 (maintenance.flag)","Error 503 (<span lang=""en"">maintenance.flag</span>)"
"Page title","Título de la página"
"Main title","Título principal"
"Content text or <abbr title=""HyperText Markup Language"">HTML</abbr>","Contenido texto o <abbr title=""Lenguaje de marcas de hipertexto (HyperText Markup Language)"">HTML</abbr>"
"Text with automatic reload period","Texto con periodo de recarga automática"
"Use [10] for a 10-seconds delay.","Utilizar [10] por 10 segundos de espera."
"Disable the page from these IP addresses","Desactivar la página a partir de las siguientes direcciones IP"
"Separate addresses by a space.","Separar las direcciones por un espacio."
"Your IP address","Su dirección IP"
"Update (upgrade.flag)","Actualización (<span lang=""en"">upgrade.flag</span>)"
"Error report","Informe de error"
"Send report by email to","Enviar el informe por correo electrónico a"
"Show the report from these IP addresses","Mostrar el informe a partir de las siguientes direcciones IP"
"System error 404","Error 404 sistema"
"[SPECIAL]","[ESPECIAL]"
"Preview in %s","Vista previa %s"
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"Changes in <em>%s</em> are not present. Please read the documentation.","Los cambios en <em>%s</em> no están presentes. Por favor lea la documentación."
"Updates history (%s)","Historial de actualizaciones (%s)"
"Updates history (%s, %s)","Historial de actualizaciones (%s, %s)"
"Repository status","Estado del repositorio"
"Current revision","Revisión actual"
"Requested revision","Revisión pedida"
"Branch","Rama"
"IP address","Dirección IP"
"Duration","Duración"
" Success","Terminada"
" Error","Error"
"Revisions history (%s)","Historial de revisiones (%s)"
"Revisions history (%s, %s)","Historial de revisiones (%s, %s)"
"Show diff","Mostrar el diff"
"Updates history","Historial de actualizaciones"
"Remove the maintenance page","Quitar la página de mantenimiento"
"Enable the maintenance page","Activar la página de mantenimiento"
"Remove the update page","Quitar la página de actualización"
"Enable the update page","Activar la página de actualización"
"Revision","Revisión"
"Graph","Gráfico"
"Author","Autor"
"Update to revision %s","Actualización hacia la revisión %s"
"Deliver","Entregar"
"Repository status (%s)","Estado del repositorio (%s)"
"Repository status (%s, %s)","Estado del repositorio (%s, %s)"
"Differences between revisions %s and %s (%s)","Diferencias entre las revisiones %s y %s (%s)"
"Differences between revisions %s and %s (%s, %s)","Diferencias entre las revisiones %s y %s (%s, %s)"
"Use update page","Utilizar la página de actualización"
"Are you sure you want to launch the update process?<br />Be careful, you can't cancel this operation.","¿Usted está seguro(a) de querer lanzar el proceso de actualización?<br />Cuidado, esta operación no puede ser anulada."
"Are you sure you want to enable the maintenance page?","¿Usted está seguro(a) de querer activar la página de mantenimiento?"
"Your IP address: <strong>%s</strong>","Su dirección IP: <strong>%s</strong>"
"<strong>Nobody</strong> will have access to the frontend.","<strong>Nadie tendrá</strong> acceso al front-office."
"<strong>You will have</strong> access to the frontend.","<strong>Usted tendrá</strong> acceso al front-office."
"<strong>You will not have</strong> access to the frontend.","<strong>Usted no tendrá</strong> acceso al front-office."
"Are you sure you want to enable the update page?","¿Usted está seguro(a) de querer activar la página de actualización?"
"Stop! Stop! Stop! An update is in progress.","¡Pare! ¡Pare! ¡Pare! Una actualización está ya en curso."
"Can not get remote commits history.","Imposible obtener el historial de las revisiones distantes."
"new file:-------","nuevo archivo:--"
"copied:---------","copiado:--------"
"deleted:--------","borrado:--------"
"modified:-------","modificado:-----"
"renamed:--------","renombrado:-----"
"type changed:---","cambio de tipo:-"
"unmerged:-------","des-fusionado:--"
"unknown:--------","desconocido:----"
"%s (not available)","%s (no disponible)"
"1) Locking and configuration check","1) Bloqueo y control de la configuración"
"Repository: %s / Branch: %s / Current revision: %s / Requested revision: %s","Repositorio: %s / Rama: %s / Revisión actual: %s / Revisión pedida: %s"
"Repository: %s / Current revision: %s / Requested revision: %s","Repositorio: %s / Revisión actual: %s / Revisión pedida: %s"
"2) Updating","2) Actualización"
"3) Cache","3) Caché"
"4) Unlocking","4) Desbloqueo"
"Update completed (revision %s)","Actualización terminada (revisión %s)"
"Update to revision %s completed.","Actualización hacia la revisión %s terminada."
"Please wait, an update is in progress.","Espere por favor, una actualización está en curso."
"You are not authorized to perform this operation.","Usted no está autorizado a realizar esta operación."
"Update error (revision %s)","Fracaso de la actualización (revisión %s)"
"Please configure the module before using it.","Configure el módulo antes de utilizarlo."
"Updating","Actualización"
"Starting update (revision %s)","Comenzando la actualización (revisión %s)"
"Do not touch anything / Do not try to cancel this operation","No toque nada / No intente anular esta operación"
"Back to OpenMage in one second","Regreso a OpenMage en un segundo"
"error404_pagetitle","Oh"
"error404_title","Página inencontrable"
"error404_content","<p>La página pedida no existe o no existe más.</p>"
"error503_pagetitle","Oh"
"error503_title","Servicio temporalmente indisponible"
"error503_content","<p>El servidor está temporalmente indisponible a causa de una operación de mantenimiento o de un problema técnico.</p>"
"upgrade_pagetitle","Oh"
"upgrade_title","Servicio temporalmente indisponible"
"upgrade_content","<p>El servidor está temporalmente indisponible a causa de una operación de mantenimiento.</p>"
"report_pagetitle","Oh"
"report_title","Hubo un error en el momento del tratamiento de su pedido"
"report_content","<p>El servidor está temporalmente indisponible a causa de un problema técnico.</p>"
"Error number: §","Error número: §"
