"Version control","Gestionnaire de version"
"Perform updates","Procéder aux mises à jour"
"Number of commits per page","Nombre de commits par page"
"Bug tracker","Gestionnaire de projet"
"Customize the login page","Personnaliser la page de connexion"
"From Magento 1.7.","À partir de Magento 1.7."
"Maintenance pages","Pages de maintenance"
"Warning! Here, [store view] = [lang].<br />The <em>maintenance.flag</em> page takes priority over the <em>upgrade.flag</em> page.","Attention ! Ici, [vue magasin] = [langue].<br />La page <em lang=""en"">maintenance.flag</em> est prioritaire sur la page <em lang=""en"">upgrade.flag</em>."
"Error 503 (maintenance.flag)","Erreur 503 (<span lang=""en"">maintenance.flag</span>)"
"Page title","Titre de la page"
"Main title","Titre principal"
"Content text or <abbr title=""HyperText Markup Language"">HTML</abbr>","Contenu texte ou <abbr title=""Langage de balisage hypertexte (HyperText Markup Language)"">HTML</abbr>"
"Text with automatic reload period","Texte avec délai du rechargement automatique"
"Use <strong>[10]</strong> for a 10-seconds delay.","Utiliser <strong>[10]</strong> pour 10 secondes de délai."
"Disable the page from these IP addresses","Désactiver la page à partir des adresses IP suivantes"
"Separate addresses by a space.","Séparer les adresses par un espace."
"Your IP address","Votre adresse IP"
"Update (upgrade.flag)","Mise à jour (<span lang=""en"">upgrade.flag</span>)"
"Error report","Rapport d'erreur"
"Send report by email to","Envoyer le rapport par email à"
"System error 404","Erreur 404 système"
"Version control / Tools / Magento Admin","Gestionnaire de version / Outils / Admin Magento"
"Preview in %s","Aperçu en %s"
"Updates history (<span id=""scmtype"">%s</span>, %s)","Historique des mises à jour (<span id=""scmtype"">%s</span>, %s)"
"Updates history (<span id=""scmtype"">%s</span>)","Historique des mises à jour (<span id=""scmtype"">%s</span>)"
"Repository status","État du dépôt"
"Current revision","Révision actuelle"
"Requested revision","Révision demandée"
"Branch","Branche"
"IP address","Adresse IP"
"Duration","Durée"
" Success","Terminée"
"Commits history (<span id=""scmtype"">%s</span>, %s)","Historique des commits (<span id=""scmtype"">%s</span>, %s)"
"Commits history (<span id=""scmtype"">%s</span>)","Historique des commits (<span id=""scmtype"">%s</span>)"
"Show diff","Afficher le diff"
"Remove the maintenance page","Enlever la page de maintenance"
"Enable the maintenance page","Activer la page de maintenance"
"Martian sunset seen by Spirit.","Coucher de soleil sur Mars vu par Spirit."
"Remove the update page","Enlever la page de mise à jour"
"Enable the update page","Activer la page de mise à jour"
"History","Historique"
"Revision","Révision"
"Diff","Diff"
"Graph","Graphe"
"Author","Auteur"
"Deliver","Livrer"
"Update to revision %s","Mise à jour vers la révision %s"
"Differences between revisions %s and %s (<span id=""scmtype"">%s</span>, %s)","Différences entre les révisions %s et %s (<span id=""scmtype"">%s</span>, %s)"
"Differences between revisions %s and %s (<span id=""scmtype"">%s</span>)","Différences entre les révisions %s et %s (<span id=""scmtype"">%s</span>)"
"Repository status (<span id=""scmtype"">%s</span>, %s)","État du dépôt (<span id=""scmtype"">%s</span>, %s)"
"Repository status (<span id=""scmtype"">%s</span>)","État du dépôt (<span id=""scmtype"">%s</span>)"
"Updates history","Historique des mises à jour"
"Use update page","Utiliser la page de mise à jour"
"Are you sure you want to launch the update process?<br />Be careful, you can't cancel this operation.","Êtes-vous sûr(e) de vouloir lancer le processus de mise à jour ?<br />Attention, cette opération ne peut pas être annulée."
"Are you sure you want to enable the maintenance page?","Êtes-vous sûr(e) de vouloir activer la page de maintenance ?"
"Your IP address: <strong>%s</strong>","Votre adresse IP : <strong>%s</strong>"
"<strong>Nobody</strong> will have access to the frontend.","<strong>Personne</strong> n'aura accès au front-office."
"<strong>You will have</strong> access to the frontend.","<strong>Vous aurez</strong> accès au front-office."
"<strong>You will not have</strong> access to the frontend.","<strong>Vous n'aurez pas</strong> accès au front-office."
"Are you sure you want to enable the update page?","Êtes-vous sûr(e) de vouloir activer la page de mise à jour ?"
"Stop! Stop! Stop! An update is in progress.","Stop ! Stop ! Stop ! Une mise à jour est déjà en cours."
"new file:-------","nouveau fichier :-"
"copied:---------","copié :-----------"
"deleted:--------","supprimé :--------"
"modified:-------","modifié :---------"
"renamed:--------","renommé :---------"
"type changed:---","modif. type :-----"
"unmerged:-------","non fusionné :----"
"unknown:--------","inconnu :---------"
"pairing broken:-","pairing broken:---"
"For the current diff","Pour le diff actuel"
"%s (not available)","%s (non disponible)"
"1) Locking and configuration check","1) Verrouillage et vérification de la configuration"
"Repository: %s / Branch: %s / Current revision: %s / Requested revision: %s","Dépôt : %s / Branche : %s / Révision actuelle : %s / Révision demandée : %s"
"Repository: %s / Current revision: %s / Requested revision: %s","Dépôt : %s / Révision actuelle : %s / Révision demandée : %s"
"2) Updating","2) Mise à jour"
"3) Cache","3) Cache"
"4) Unlocking","4) Déverrouillage"
"Update completed (revision %s)","Mise à jour terminée (révision %s)"
"Update to revision %s completed.","Mise à jour vers la révision %s terminée."
"Update error (revision %s)","Échec de mise à jour (révision %s)"
"Please wait, an update is in progress.","Veuillez patienter, une mise à jour est en cours."
"You are not authorized to perform this operation.","Vous n'êtes pas autorisé(e) à effectuer cette opération."
"Please configure the module before using it.","Veuillez configurer le module avant de l'utiliser."
"Updating","Mise à jour"
"Starting update (revision %s)","Démarrage de la mise à jour (révision %s)"
"Do not touch anything / Do not try to cancel this operation","Ne touchez plus à rien / Ne tentez pas d'annuler cette opération"
"Back to Magento in one second","Retour sur Magento dans une seconde"
